Step:18550 Total_Time:1353.3353323936462 Test_acc:0.3521484375
Step:18600 Total_Time:1356.9906284809113 Test_acc:0.353515625
Step:18650 Total_Time:1360.6431095600128 Test_acc:0.3564453125
Step:18700 Total_Time:1364.4712309837341 Test_acc:0.3529296875
Step:18750 Total_Time:1368.3297455310822 Test_acc:0.35
Step:18800 Total_Time:1371.9680938720703 Test_acc:0.3517578125
Step:18850 Total_Time:1375.6167905330658 Test_acc:0.35390625
Step:18900 Total_Time:1379.2785856723785 Test_acc:0.3541015625
Step:18950 Total_Time:1382.9296684265137 Test_acc:0.350390625
Step:19000 Total_Time:1386.5973479747772 Test_acc:0.35234375
Step:19050 Total_Time:1390.266343832016 Test_acc:0.3490234375
Step:19100 Total_Time:1393.914214849472 Test_acc:0.35
OVERALL Step:19149 Total_Time:1397.5625355243683 Test_acc:0.34568676716917923
Step:19150 Total_Time:1397.5625383853912 Test_acc:0.34609375
Step:19200 Total_Time:1401.2305192947388 Test_acc:0.344140625
Step:19250 Total_Time:1404.8807735443115 Test_acc:0.3466796875
Step:19300 Total_Time:1408.5306088924408 Test_acc:0.3494140625
Step:19350 Total_Time:1412.2042586803436 Test_acc:0.3494140625
Step:19400 Total_Time:1415.8572793006897 Test_acc:0.3490234375
Step:19450 Total_Time:1419.4891068935394 Test_acc:0.350390625
Step:19500 Total_Time:1423.1215484142303 Test_acc:0.3474609375
Step:19550 Total_Time:1426.7685844898224 Test_acc:0.3501953125
Step:19600 Total_Time:1430.4175889492035 Test_acc:0.3517578125
Step:19650 Total_Time:1434.0596981048584 Test_acc:0.35234375
Step:19700 Total_Time:1437.710960149765 Test_acc:0.3505859375
Step:19750 Total_Time:1441.399950504303 Test_acc:0.3505859375
Step:19800 Total_Time:1445.0915141105652 Test_acc:0.35
Step:19850 Total_Time:1448.739684343338 Test_acc:0.35234375
Step:19900 Total_Time:1452.3755218982697 Test_acc:0.3533203125
Step:19950 Total_Time:1456.0354528427124 Test_acc:0.354296875
Step:20000 Total_Time:1459.6879103183746 Test_acc:0.3541015625
Step:20050 Total_Time:1463.3439636230469 Test_acc:0.3529296875
Step:20100 Total_Time:1466.9863831996918 Test_acc:0.3515625
Step:20150 Total_Time:1470.6314487457275 Test_acc:0.353515625
Step:20200 Total_Time:1474.2802560329437 Test_acc:0.3537109375
Step:20250 Total_Time:1477.9216384887695 Test_acc:0.35625
Step:20300 Total_Time:1481.565854549408 Test_acc:0.3576171875
Step:20350 Total_Time:1485.1949605941772 Test_acc:0.35546875
Step:20400 Total_Time:1488.8386685848236 Test_acc:0.35546875
Step:20450 Total_Time:1492.4947559833527 Test_acc:0.354296875
Step:20500 Total_Time:1496.1384308338165 Test_acc:0.353125
Step:20550 Total_Time:1499.7784595489502 Test_acc:0.35078125
Step:20600 Total_Time:1503.431380033493 Test_acc:0.3544921875
Step:20650 Total_Time:1507.06187582016 Test_acc:0.3517578125
Step:20700 Total_Time:1510.7078483104706 Test_acc:0.3533203125
Step:20750 Total_Time:1514.3504750728607 Test_acc:0.3541015625
Step:20800 Total_Time:1518.003066778183 Test_acc:0.350390625
